영화관명,브랜드명,영업상태명,영화관지역명,광역단체,기초단체,번지명,도로명,좌표정보x(epsg5174),y(epsg5174)
목포하당(포르모),메가박스,영업,광주/전라,전라남도,목포시,전라남도 목포시 상동 860-1번지 극장동 3층,전라남도 목포시 옥암로 95 (상동),147387.7006,145561.0818
순천,메가박스,영업,광주/전라,전라남도,순천시,전라남도 순천시 덕암동 151 701호,전라남도 순천시 충효로 15 (덕암동),246595.8194,160387.2854
여수웅천,메가박스,영업,광주/전라,전라남도,여수시,전라남도 여수시 웅천동 1720-1,전라남도 여수시 신월로 96 (웅천동),262093.4908,139162.6764
전대(광주),메가박스,영업,광주/전라,광주시,북구,"광주광역시 북구 중흥동 362-2,",광주광역시 북구 우치로 60 (중흥동),191950.6543,185940.6389
전주객사,메가박스,영업,광주/전라,전라북도,전주시,전북특별자치도 전주시 완산구 고사동 181,전북특별자치도 전주시 완산구 전주객사4길 74-12,212915.8216,257873.5197
전주혁신,메가박스,영업,광주/전라,전라북도,전주시,전북특별자치도 전주시 덕진구 장동 1111 전북혁신도시 더 M city 센텀,"전북특별자치도 전주시 덕진구 기지로 77, 303동 2층 (장동, 전북혁신도시 더 M city 센텀)",205360.6428,259875.9531
첨단,메가박스,영업,광주/전라,광주시,광산구,광주광역시 광산구 쌍암동 688-4 폭스존,"광주광역시 광산구 앰코로 35, 폭스존 (쌍암동)",186484.1039,191340.9596
남춘천,메가박스,영업,강원,강원도,춘천시,강원특별자치도 춘천시 온의동 587-8 587-9(2필지),강원특별자치도 춘천시 춘천로17번길 17 (온의동),263286.9396,485123.9106
속초,메가박스,영업,강원,강원도,속초시,강원특별자치도 속초시 조양동 1506-1,강원특별자치도 속초시 조양로142번길 20 (조양동),338872.9337,521870.2622
원주혁신,메가박스,영업,강원,강원도,원주시,강원특별자치도 원주시 반곡동 1903-2,"강원특별자치도 원주시 양지로 80, 7층 608호 (반곡동, 센트럴파크)",287336.986,425561.6915
춘천석사,메가박스,영업,강원,강원도,춘천시 ,강원특별자치도 춘천시 석사동 980,"강원특별자치도 춘천시 후석로 120, 춘천NH타운_ENTA 2층 (석사동)",265760.7509,484782.143
제주삼화,메가박스,영업,제주,제주도,제주시,제주특별자치도 제주시 삼양이동 1477-8,제주특별자치도 제주시 삼봉로 11 (삼양이동),161670.0321,2752.67814
제주서귀포,메가박스,영업,제주,제주도,제수시,제주특별자치도 서귀포시 동홍동 1372-1,메가박스제주 서귀포점 3관,159185.6313,-25953.3646
제주아라,메가박스,영업,제주,제주도,제주시,제주특별자치도 제주시 아라일동 2574 메가타워,"제주특별자치도 제주시 구산로 4 (아라일동, 메가타워)",156787.8258,-1295.616285
